club,last_name,first_name,position,base_salary,guaranteed_compensation
Sporting Kansas City,Smith,Graham,D,54500.04,54500.04
Chicago Fire,Solignac,Luis,F,300000.0,353312.5
New England Revolution,Somi,Gabriel,D,390999.96,424999.96
Columbus Crew,Sosa,Eduardo,M,99999.96,120199.96
Real Salt Lake,Sparrow,Connor,GK,54504.0,54504.0
Orlando City SC,Spector,Jonathan,D,575004.0,636941.5
Orlando City SC,Stajduhar,Mason,GK,67500.0,67500.0
Houston Dynamo,Steeves,Mac,GK,54500.04,54500.04
Columbus Crew,Steffen,Zack,GK,145000.0,145000.0
LA Galaxy,Steres,Daniel,D,125004.0,132066.6
DC United,Stieber,Zoltan,M,999999.96,999999.96
Sporting Kansas City,Storm,Colton,D,55654.2,55654.2
New York City FC,Stuver,Brad,GK,84999.96,84999.96
Orlando City SC,Sutter,Scott,D,225000.0,225000.0
Seattle Sounders FC,Svensson,Gustav,M,350000.04,367500.04
New York City FC,Sweat,Ben,D,67500.0,67500.0
LA Galaxy,Sylvestre,Brian,GK,67500.0,67500.0
Montreal Impact,Taider,Saphir,M,800000.04,800000.04
New York City FC,Tajouri,Ismael,F,320000.04,350500.04
San Jose Earthquakes,Tarbell,Andrew,GK,88000.0,102000.0
Orlando City SC,Tarek,Amro,D,80000.04,88333.37
,Tchani,Tony,M,320000.0,353333.33
Vancouver Whitecaps,Techera,Cristian,M,387000.0,412000.0
Vancouver Whitecaps,Teibert,Russell,M,140000.04,160000.04
Toronto FC,Telfer,Ryan,M-F,54500.04,54500.04
San Jose Earthquakes,Thiaw,Mohamed,F,54500.04,54500.04
Minnesota United,Thiesson,Jerome,D,180000.0,219166.67
San Jose Earthquakes,Thompson,Tommy,M,165000.0,170000.0
New England Revolution,Tierney,Chris,D-M,157500.0,165833.33
New York City FC,Tinnerholm,Anton,D,350000.04,434925.04
Orlando City SC,Toia,Donny,D,125004.0,125004.0
Seattle Sounders FC,Tolo,Nouhou,D,54500.0,54500.0
Seattle Sounders FC,Torres,Roman,D,575000.04,645000.04
Minnesota United,Toye,Mason,F,124999.92,177999.92
Columbus Crew,Trapp,Wil,M,500004.0,550004.0
Philadelphia Union,Trusty,Auston,D,80000.0,109100.0
Portland Timbers,Tuiloma,Bill,D-M,67500.0,75000.0
New England Revolution,Turner,Matt,GK,67500.0,67500.0
FC Dallas,Twumasi,Ema,F,135000.0,180900.0
FC Dallas,Ulloa,Victor,M,180000.0,182500.0
LAFC,Urena,Marco,F,279996.0,294412.67
FC Dallas,Urruti,Maximiliano,F,700000.08,781000.08
Portland Timbers,Valentin,Zarek,D,130000.0,130000.0
Columbus Crew,Valenzuela,Milton,D,282000.0,313300.0
Portland Timbers,Valeri,Diego,M,2320000.0,2380000.0
New York Red Bulls,Valot,Florian,M,67500.0,71136.45
Toronto FC,Van Der Wiel,Gregory,D,800000.04,835000.04
Montreal Impact,Vargas,Jeisson,M,200000.04,200000.04
Atlanta United,Vazquez,Brandon,F,125004.0,145004.0
Toronto FC,Vazquez,Victor,M,1365000.0,1500000.0
LAFC,Vela,Carlos,F,4500000.0,6292500.0
Minnesota United,Venegas,Johan,M,225000.0,237500.0
New York City FC,Villa,David,F,5610000.0,5610000.0
Portland Timbers,Villafana,Jorge,D,600000.0,617500.0
Atlanta United,Villalba,Hector,F,663000.0,770750.0
Orlando City SC,Villarreal,Jose,F,84999.96,84999.96
Chicago Fire,Vincent,Brandon,D,122375.0,144250.0
Colorado Rapids,Vines,Sam,D,60000.0,61250.0
LA Galaxy,Vom Steeg,Justin,GK,54500.04,54500.04
New York City FC,Wallace,Rodney,M,300000.08,300000.08
Minnesota United,Warner,Collen,M,251004.0,251004.0
Vancouver Whitecaps,Waston,Kendall,D,574999.92,604166.52
,,,,,
Houston Dynamo,Watts,Jared,D-M,92500.0,92500.0
,,,,,
San Jose Earthquakes,Wehan,Chris,M,54492.0,57992.0
,,,,,
Houston Dynamo,Wenger,Andrew,M,230000.0,230000.0
,,,,,
Atlanta United,Wheeler-Omiunu,Andrew,M,55654.2,55654.2
,,,,,
New York Red Bulls,White,Brian,F,54500.04,54500.04
,,,,,
Atlanta United,Wild,Gordon,F,90000.0,120000.0
,,,,,
Atlanta United,Williams,Romario,F,71500.0,71500.0
,,,,,
Columbus Crew,Williams,Joshua,D,200000.04,200000.04
,,,,,
LA Galaxy,Williams,Sheanon,D,67500.0,72500.0
,,,,,
Portland Timbers,Williamson,Eryk,M,110000.04,126500.04
,,,,,
Houston Dynamo,Willis,Joe,GK,124999.92,132749.92
,,,,,
Colorado Rapids,Wilson,Daniel,D,500000.04,540000.0
,,,,,
Seattle Sounders FC,Wingo,Henry,D-M,55650.0,55650.0
,,,,,
San Jose Earthquakes,Wondolowski,Chris,F,800000.0,800000.0
,,,,,
DC United,Worra,Travis,GK,68906.25,68906.25
,,,,,
New England Revolution,Wright,Brian,F,67500.0,67500.0
,,,,,
New York Red Bulls,Wright-Phillips,Bradley,F,1500000.0,1635000.0
,,,,,
Colorado Rapids,Wynne,Deklan,D,67500.0,67500.0
,,,,,
Philadelphia Union,Yaro,Joshua,D,140000.0,224000.0
,,,,,
Orlando City SC,Yotun,Yoshimar,M,549996.0,599996.0
,,,,,
San Jose Earthquakes,Yueill,Jackson,M,135000.0,196000.0
,,,,,
New England Revolution,Zahibo,Wilfried,M,474000.0,544000.0
,,,,,
Columbus Crew,Zardes,Gyasi,F,630000.0,630000.0
,,,,,
Toronto FC,Zavaleta,Eriq,D,225000.0,263558.45
,,,,,
Sporting Kansas City,Zendejas,Adrian,GK,55650.0,55650.0
,,,,,
FC Dallas,Ziegler,Reto,D,750000.0,800000.0
,,,,,
LAFC,Zimmerman,Walker,D,235000.0,235000.0
,,,,,
Atlanta United,Zizzo,Sal,D,129999.96,129999.96
,,,,,
FC Dallas,Zobeck,Kyle,GK,67500.0,67500.0
,,,,,
Sporting Kansas City,Zusi,Graham,D,750000.0,782102.27
